Date,Time,StoreID,CustomerID,OrderID,Product Name,Size,Crust
2024-12-05,02:56:32,0,0,0,BBQ Chicken,medium,thick
2024-12-05,02:56:32,0,0,0,Margherita,medium,thin
2024-12-05,02:56:32,0,0,1,Margherita,medium,thin
2024-12-05,02:56:32,0,0,1,Hawaiian,large,stuffed crust
2024-12-05,02:56:32,0,0,1,Supreme,large,thin
2024-12-05,02:56:32,0,0,2,Hawaiian,large,thin
2024-12-05,02:56:32,0,0,2,Margherita,small,stuffed crust
2024-12-05,02:56:32,0,0,2,Hawaiian,medium,thin
2024-12-05,02:56:32,0,0,2,Hawaiian,large,thin
2024-12-05,02:56:32,0,1,0,Supreme,medium,thick
2024-12-05,02:56:32,0,1,0,Veggie,small,stuffed crust
2024-12-05,02:56:32,0,1,1,Supreme,large,thin
2024-12-05,02:56:32,0,1,1,Supreme,large,thick
2024-12-05,02:56:32,0,1,1,Meat Lovers,medium,thick
2024-12-05,02:56:32,0,1,2,Cheese,medium,stuffed crust
2024-12-05,02:56:32,0,2,0,Supreme,small,thin
2024-12-05,02:56:32,0,2,0,Veggie,large,thick
2024-12-05,02:56:32,0,2,0,Hawaiian,medium,stuffed crust
2024-12-05,02:56:32,0,2,1,Meat Lovers,large,thin
2024-12-05,02:56:32,0,2,1,Meat Lovers,small,stuffed crust
2024-12-05,02:56:32,0,2,1,Meat Lovers,small,thin
2024-12-05,02:56:32,0,2,1,Hawaiian,large,thin
2024-12-05,02:56:32,0,2,2,Meat Lovers,large,thin
2024-12-05,02:56:32,0,2,2,Veggie,medium,stuffed crust
2024-12-05,02:56:32,0,2,2,Meat Lovers,small,thin
2024-12-05,02:56:32,0,3,0,Supreme,small,thick
2024-12-05,02:56:32,0,3,0,BBQ Chicken,small,thick
2024-12-05,02:56:32,0,3,0,Veggie,small,thick
2024-12-05,02:56:32,0,3,1,Hawaiian,small,thin
2024-12-05,02:56:32,0,3,1,Supreme,medium,thin
2024-12-05,02:56:32,0,3,2,Supreme,small,stuffed crust
2024-12-05,02:56:32,0,4,0,BBQ Chicken,large,stuffed crust
2024-12-05,02:56:32,0,4,0,Meat Lovers,medium,thin
2024-12-05,02:56:32,0,4,0,Pepperoni,small,stuffed crust
2024-12-05,02:56:32,0,4,1,Pepperoni,large,thin
2024-12-05,02:56:32,0,4,2,Supreme,large,thick
2024-12-05,02:56:32,0,4,2,Meat Lovers,small,thin
2024-12-05,02:56:32,0,4,2,Veggie,small,thick
2024-12-05,02:56:32,0,5,0,Cheese,medium,thin
